#OTU,Sp11,Sp12,Sp13,Sp21,Sp22,Sp23,Su11,Su12,Su13,Su21,Su22,Su23,Au11,Au12,Au13,Au21,Au22,Au23,Wi11,Wi12,Wi13,Wi21,Wi22,Wi23
Otu2466,3,10,3,5,1,8,3,4,19,3,12,9,2,15,10,3,20,11,3,12,4,4,11,19
Otu2467,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
Otu2468,7,3,1,3,4,3,5,2,7,14,16,11,1,7,0,3,3,4,11,2,10,4,6,13
Otu247,42,5,5,9,10,8,73,5,14,7,2,13,14,5,15,6,2,2,16,2,12,19,8,17
Otu2470,2,1,3,9,7,4,5,0,0,5,2,9,7,5,8,7,2,9,0,15,2,2,6,4
Otu2471,8,3,2,2,0,0,2,11,0,2,2,4,13,12,3,6,0,0,19,12,4,4,12,0
Otu2472,1,1,0,0,0,0,15,0,3,3,2,0,6,2,0,6,2,0,3,0,0,0,0,0
Otu2473,5,3,3,0,0,4,0,0,12,3,5,2,2,2,1,0,2,0,0,0,2,0,0,0
Otu2474,2,3,3,0,1,0,0,9,0,0,0,0,1,6,12,0,2,2,3,5,10,0,5,4
Otu2475,0,2,2,0,0,0,0,2,14,0,0,0,0,1,1,0,2,0,0,2,6,0,0,0
Otu2476,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0,4,0,0,14,0,0,12,0,0
Otu2478,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Otu2479,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,7,0,0,0,0,0,2,0,0
Otu248,41,58,65,6,15,25,25,76,42,3,9,16,49,59,81,13,21,27,82,123,73,42,14,35
Otu2480,4,0,2,3,1,0,0,2,0,0,0,0,2,2,0,0,0,0,16,2,0,2,0,2
Otu2481,0,1,2,0,3,0,2,5,7,2,2,2,3,2,1,0,0,0,8,7,10,6,2,0
Otu2482,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Otu2483,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Otu2484,1,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0
Otu2485,4,4,0,0,3,1,0,0,10,10,12,18,0,5,4,11,15,2,0,2,0,0,17,4
Otu2486,3,2,0,0,1,0,3,0,5,12,0,2,2,2,1,1,0,0,0,10,4,0,0,2
Otu2487,13,7,3,5,4,11,2,4,14,2,7,16,6,12,9,0,3,2,3,10,6,2,14,4
Otu2488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0
Otu2490,2,3,3,0,0,1,0,5,20,3,0,2,2,3,8,3,5,4,5,0,0,0,8,4
Otu2491,4,0,0,0,3,0,0,0,0,7,5,4,1,2,2,0,2,4,14,0,0,0,0,0
Otu2492,1,8,7,0,0,3,2,9,10,0,0,0,1,5,12,0,3,5,0,7,6,0,3,2
Otu2493,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,4,3,0,0,0,5,8
Otu2494,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,5,0,0,0,0,0,0
Otu2495,2,0,1,0,0,0,0,2,0,0,7,0,2,0,3,0,5,0,5,2,4,6,2,2
