#OTU	Sp11	Sp12	Sp13	Sp21	Sp22	Sp23	Su11	Su12	Su13	Su21	Su22	Su23	Au11	Au12	Au13	Au21	Au22	Au23	Wi11	Wi12	Wi13	Wi21	Wi22	Wi23
Otu2085	3	1	0	3	7	1	0	0	0	0	2	0	1	0	0	3	3	0	0	0	0	0	3	8
Otu2086	1	0	0	0	6	0	0	0	0	3	0	0	2	0	1	7	2	0	5	0	0	0	0	0
Otu2087	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Otu2088	9	10	6	9	7	7	5	9	5	10	9	2	4	7	7	24	5	2	0	7	10	0	5	13
Otu2089	2	4	2	2	10	4	3	0	10	3	12	4	1	1	6	1	0	2	4	2	2	6	0	2
Otu209	129	46	18	66	138	177	61	25	84	207	143	105	128	93	44	295	136	118	132	62	33	66	122	133
Otu2090	1	8	9	3	0	1	2	2	2	9	2	4	4	2	1	4	0	5	19	2	4	4	6	6
Otu2091	0	1	1	0	0	0	0	0	0	3	2	0	1	2	2	3	7	5	0	0	0	2	0	0
Otu2092	0	2	0	5	0	0	0	2	0	0	5	0	1	2	1	0	2	5	0	0	0	0	2	2
Otu2093	6	1	7	0	0	3	0	2	5	2	2	7	8	5	3	6	5	7	35	0	6	13	12	6
Otu2094	4	8	3	3	1	1	3	4	7	3	5	2	7	5	2	0	2	0	5	7	4	6	2	0
Otu2095	1	2	2	0	1	0	0	0	7	0	0	0	1	5	0	3	2	0	3	0	2	2	0	2
Otu2096	0	3	5	0	3	1	5	11	2	0	0	2	2	0	2	0	0	2	0	5	0	0	5	2
Otu2097	0	0	1	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	6	2	0
Otu2098	2	3	2	6	7	1	0	0	0	9	0	2	1	0	0	1	0	2	0	5	0	0	3	2
Otu2099	2	10	4	0	12	6	5	12	8	9	12	7	1	4	6	4	2	2	5	2	20	6	6	13
Otu21	166	68	471	138	7	208	3	90	104	45	27	99	7	497	33	231	729	1588	30	10	15	12	24	81
Otu210	3	0	0	6	111	14	18	0	0	27	58	2	4	2	0	24	2	2	33	2	0	59	0	8
Otu2100	0	0	1	2	0	6	0	0	0	9	2	0	0	2	0	6	2	4	3	0	0	0	2	0
Otu2102	2	0	0	2	3	0	2	0	3	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
Otu2103	0	0	0	0	4	1	0	0	7	3	7	4	0	2	2	3	5	0	3	2	0	0	2	2
Otu2104	3	1	3	2	1	0	2	5	7	0	2	0	2	0	3	4	0	0	3	0	4	0	2	0
Otu2105	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2106	9	4	2	7	12	8	12	7	0	12	9	13	14	13	2	10	5	2	0	0	2	4	9	4
Otu2107	0	1	1	0	0	0	0	4	0	0	0	4	2	1	0	0	0	2	0	0	5	0	5	2
Otu2108	2	1	3	0	1	1	3	4	0	5	7	0	2	2	1	1	2	5	8	0	6	0	2	8
Otu2109	4	3	2	0	4	4	2	0	0	2	5	4	5	9	1	10	3	2	0	0	0	0	8	6
Otu211	27	81	60	50	58	84	23	46	168	126	97	94	22	85	82	171	146	188	33	49	48	2	103	176
Otu2110	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	2	0	0	0
Otu2111	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
Otu2112	3	21	52	0	3	7	7	85	5	9	7	9	0	15	44	28	1	9	8	34	129	2	31	31
Otu2113	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu2114	2	3	0	0	1	1	2	0	3	2	2	2	1	2	3	0	0	4	5	0	0	6	2	0
Otu2115	0	3	2	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	8	7	0	0	2	2
Otu2116	2	1	3	2	1	4	3	3	7	3	7	0	9	5	5	6	3	9	8	0	6	0	8	15
Otu2117	3	1	2	5	7	7	3	0	4	0	5	4	8	12	3	4	7	2	5	10	10	30	8	6
Otu2118	3	3	0	0	1	6	0	0	0	6	0	2	0	2	1	0	2	4	5	0	4	2	3	6
Otu2119	2	0	2	5	1	4	0	0	8	5	0	7	0	2	2	3	0	4	5	0	8	6	2	4
Otu212	36	28	16	9	39	15	42	61	7	36	14	29	30	50	43	31	10	18	19	30	33	18	12	31
Otu2120	6	11	3	12	6	8	2	4	2	5	8	7	3	5	8	6	15	6	0	10	14	0	6	6
Otu2121	6	8	12	0	8	3	6	11	10	2	2	9	7	6	18	4	3	5	5	2	10	10	6	20
Otu2122	14	12	25	14	11	25	10	20	32	15	31	18	15	26	30	23	19	25	71	20	31	38	22	39
Otu2123	4	0	2	0	6	0	0	5	0	2	2	0	7	5	4	1	7	2	11	2	0	10	3	4
Otu2124	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2125	3	2	2	0	1	4	2	2	0	0	0	0	1	1	3	0	0	0	5	0	0	6	8	0
Otu2126	6	0	3	0	0	1	5	5	0	0	0	0	4	2	6	0	0	0	0	0	14	0	0	2
Otu2127	2	2	0	2	3	0	0	4	3	2	2	2	6	1	3	1	2	0	3	2	6	0	3	4
Otu2128	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2129	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu213	95	55	30	29	43	26	59	51	159	76	97	70	164	94	28	157	20	14	72	121	41	232	42	51
Otu2130	5	5	5	3	3	0	7	2	2	0	0	4	7	5	10	1	0	2	0	5	6	0	5	0
Otu2131	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	2	8	0	2	4
Otu2132	2	3	3	0	1	3	0	2	3	0	2	4	1	2	4	1	2	2	0	10	4	2	5	8
Otu2133	1	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Otu2134	0	0	0	0	8	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2135	4	1	4	0	3	7	7	5	10	4	7	7	1	1	3	1	3	4	3	0	8	0	0	2
Otu2136	0	0	0	0	7	0	5	0	0	5	5	0	8	0	0	4	0	0	0	0	0	0	0	0
Otu2137	1	4	3	0	0	4	2	0	0	0	0	0	0	1	1	0	0	0	0	2	8	4	3	0
Otu2138	1	0	0	0	0	1	0	5	3	2	0	0	9	4	4	4	0	0	0	7	2	2	0	0
Otu2139	1	0	0	3	0	6	3	0	0	10	12	0	2	2	0	14	2	0	8	0	0	0	2	2
Otu214	2	16	96	0	0	21	0	2	0	0	0	0	0	5	15	1	2	39	22	2	17	4	9	13
Otu2140	0	0	0	2	0	7	0	0	0	3	0	2	0	0	0	0	0	4	0	0	0	0	0	0
Otu2141	0	0	2	0	0	0	0	0	0	0	0	0	0	4	2	0	0	2	0	0	21	0	8	2
Otu2142	0	5	3	6	3	6	2	0	0	2	5	9	3	4	4	0	2	2	16	0	8	0	2	6
Otu2143	1	0	1	0	0	0	5	4	3	0	0	0	1	2	2	0	0	0	0	0	0	0	0	4
Otu2144	1	1	0	0	0	0	2	0	3	0	0	0	1	2	4	0	0	4	3	0	6	6	2	6
Otu2146	2	2	1	9	1	1	2	0	0	7	0	0	4	2	0	6	0	2	3	0	0	2	2	4
Otu2147	0	0	1	0	0	0	0	0	3	0	0	11	0	5	0	0	0	0	13	2	4	0	2	4
Otu2148	2	3	5	2	3	1	0	9	5	0	0	0	1	6	3	1	2	5	0	0	6	0	2	0
Otu2149	315	320	310	199	376	292	377	436	603	354	312	339	376	356	356	371	256	322	237	455	389	211	228	337
Otu215	83	3	1	8	7	0	114	0	0	0	5	2	101	7	8	11	0	7	11	0	0	0	0	2
Otu2150	20	16	12	3	8	6	18	14	14	5	2	31	43	21	15	3	5	14	16	5	17	6	17	26
Otu2152	4	8	4	6	4	3	8	9	14	12	5	2	11	9	4	4	5	5	13	20	8	10	11	8
Otu2153	0	2	1	0	4	4	0	4	5	2	5	0	2	2	3	0	0	0	3	5	2	0	0	0
Otu2154	0	2	0	0	0	1	0	0	5	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0
Otu2156	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Otu2157	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu2159	2	0	0	2	0	6	0	0	0	2	0	2	0	1	0	0	0	4	0	0	0	0	0	4
Otu216	61	51	46	73	36	132	47	12	158	86	94	146	12	79	73	100	138	127	45	69	68	461	110	155
